cbo;cbo_nome;grupo_ocupacional;familia_especialidade;status_mapeamento;vinculos;anos_com_dado;primeiro_ano;ultimo_ano
223212;Cirurgião-dentista — auditor;Cirurgiões-dentistas;Auditoria, gestão e regulação;mapeado;4107;4;2019;2022
223280;Cirurgião-dentista — traumatologista bucomaxilofacial;Cirurgiões-dentistas;Cirurgia e traumatologia bucomaxilofacial;mapeado;5864;4;2019;2022
223204;Cirurgião-dentista;Cirurgiões-dentistas;Clínica odontológica / geral;mapeado;3709;4;2019;2022
223208;Cirurgião-dentista — clínico geral;Cirurgiões-dentistas;Clínica odontológica / geral;mapeado;237401;4;2019;2022
223216;Cirurgião-dentista — dentística;Cirurgiões-dentistas;Dentística / restauradora;mapeado;100;4;2019;2022
223220;Cirurgião-dentista — disfunção temporomandibular e dor orofacial;Cirurgiões-dentistas;Dor orofacial / DTM;mapeado;148;4;2019;2022
223224;Cirurgião-dentista — endodontista;Cirurgiões-dentistas;Endodontia;mapeado;194;4;2019;2022
223228;Cirurgião-dentista — estomatologista;Cirurgiões-dentistas;Estomatologia;mapeado;459;4;2019;2022
223232;Cirurgião-dentista — implantodontista;Cirurgiões-dentistas;Implantodontia;mapeado;8164;4;2019;2022
223236;Cirurgião-dentista — odontogeriatra;Cirurgiões-dentistas;Odontogeriatria;mapeado;1193;4;2019;2022
223240;Cirurgião-dentista — odontologia do trabalho;Cirurgiões-dentistas;Odontologia do trabalho;mapeado;1639;4;2019;2022
223288;Cirurgião-dentista — odontologia estética;Cirurgiões-dentistas;Odontologia estética;mapeado;4834;4;2019;2022
223284;Cirurgião-dentista — odontologia legal;Cirurgiões-dentistas;Odontologia legal;mapeado;45;4;2019;2022
223248;Cirurgião-dentista — odontopediatra;Cirurgiões-dentistas;Odontopediatria;mapeado;1041;4;2019;2022
223252;Cirurgião-dentista — ortopedista e ortodontista;Cirurgiões-dentistas;Ortodontia / ortopedia funcional;mapeado;417;4;2019;2022
223244;Cirurgião-dentista — odontologia para pacientes com necessidades especiais;Cirurgiões-dentistas;Pacientes com necessidades especiais;mapeado;332;4;2019;2022
223256;Cirurgião-dentista — patologista bucal;Cirurgiões-dentistas;Patologia bucal;mapeado;1226;4;2019;2022
223260;Cirurgião-dentista — periodontista;Cirurgiões-dentistas;Periodontia;mapeado;381;4;2019;2022
