ano;sg_uf;territorio;populacao;fonte_populacao
2001;RO;Rondônia;1407886;IBGE/TCU série 2001-2019
2001;AC;Acre;574355;IBGE/TCU série 2001-2019
2001;AM;Amazonas;2900240;IBGE/TCU série 2001-2019
2001;RR;Roraima;337237;IBGE/TCU série 2001-2019
2001;PA;Pará;6341736;IBGE/TCU série 2001-2019
2001;AP;Amapá;498735;IBGE/TCU série 2001-2019
2001;TO;Tocantins;1184895;IBGE/TCU série 2001-2019
2001;MA;Maranhão;5730467;IBGE/TCU série 2001-2019
2001;PI;Piauí;2873010;IBGE/TCU série 2001-2019
2001;CE;Ceará;7547620;IBGE/TCU série 2001-2019
2001;RN;Rio Grande do Norte;2815244;IBGE/TCU série 2001-2019
2001;PB;Paraíba;3468594;IBGE/TCU série 2001-2019
2001;PE;Pernambuco;8008207;IBGE/TCU série 2001-2019
2001;AL;Alagoas;2856629;IBGE/TCU série 2001-2019
2001;SE;Sergipe;1817301;IBGE/TCU série 2001-2019
2001;BA;Bahia;13214114;IBGE/TCU série 2001-2019
2001;MG;Minas Gerais;18127096;IBGE/TCU série 2001-2019
2001;ES;Espírito Santo;3155016;IBGE/TCU série 2001-2019
2001;RJ;Rio de Janeiro;14558545;IBGE/TCU série 2001-2019
2001;SP;São Paulo;37630106;IBGE/TCU série 2001-2019
2001;PR;Paraná;9694709;IBGE/TCU série 2001-2019
2001;SC;Santa Catarina;5448736;IBGE/TCU série 2001-2019
2001;RS;Rio Grande do Sul;10309819;IBGE/TCU série 2001-2019
2001;MS;Mato Grosso do Sul;2111036;IBGE/TCU série 2001-2019
2001;MT;Mato Grosso;2560584;IBGE/TCU série 2001-2019
2001;GO;Goiás;5116462;IBGE/TCU série 2001-2019
2001;DF;Distrito Federal;2097447;IBGE/TCU série 2001-2019
2002;RO;Rondônia;1431777;IBGE/TCU série 2001-2019
2002;AC;Acre;586942;IBGE/TCU série 2001-2019
2002;AM;Amazonas;2961801;IBGE/TCU série 2001-2019
2002;RR;Roraima;346871;IBGE/TCU série 2001-2019
2002;PA;Pará;6453683;IBGE/TCU série 2001-2019
2002;AP;Amapá;516511;IBGE/TCU série 2001-2019
2002;TO;Tocantins;1207014;IBGE/TCU série 2001-2019
2002;MA;Maranhão;5803224;IBGE/TCU série 2001-2019
2002;PI;Piauí;2898223;IBGE/TCU série 2001-2019
2002;CE;Ceará;7654535;IBGE/TCU série 2001-2019
2002;RN;Rio Grande do Norte;2852784;IBGE/TCU série 2001-2019
2002;PB;Paraíba;3494893;IBGE/TCU série 2001-2019
2002;PE;Pernambuco;8084667;IBGE/TCU série 2001-2019
2002;AL;Alagoas;2887535;IBGE/TCU série 2001-2019
2002;SE;Sergipe;1846039;IBGE/TCU série 2001-2019
2002;BA;Bahia;13323212;IBGE/TCU série 2001-2019
2002;MG;Minas Gerais;18343517;IBGE/TCU série 2001-2019
2002;ES;Espírito Santo;3201722;IBGE/TCU série 2001-2019
2002;RJ;Rio de Janeiro;14724475;IBGE/TCU série 2001-2019
2002;SP;São Paulo;38177742;IBGE/TCU série 2001-2019
2002;PR;Paraná;9798006;IBGE/TCU série 2001-2019
2002;SC;Santa Catarina;5527707;IBGE/TCU série 2001-2019
2002;RS;Rio Grande do Sul;10408540;IBGE/TCU série 2001-2019
2002;MS;Mato Grosso do Sul;2140624;IBGE/TCU série 2001-2019
2002;MT;Mato Grosso;2604742;IBGE/TCU série 2001-2019
2002;GO;Goiás;5210335;IBGE/TCU série 2001-2019
2002;DF;Distrito Federal;2145839;IBGE/TCU série 2001-2019
2003;RO;Rondônia;1455907;IBGE/TCU série 2001-2019
2003;AC;Acre;600595;IBGE/TCU série 2001-2019
2003;AM;Amazonas;3031068;IBGE/TCU série 2001-2019
2003;RR;Roraima;357302;IBGE/TCU série 2001-2019
2003;PA;Pará;6574993;IBGE/TCU série 2001-2019
2003;AP;Amapá;534835;IBGE/TCU série 2001-2019
2003;TO;Tocantins;1230181;IBGE/TCU série 2001-2019
2003;MA;Maranhão;5873655;IBGE/TCU série 2001-2019
2003;PI;Piauí;2923725;IBGE/TCU série 2001-2019
2003;CE;Ceará;7758441;IBGE/TCU série 2001-2019
2003;RN;Rio Grande do Norte;2888058;IBGE/TCU série 2001-2019
2003;PB;Paraíba;3518595;IBGE/TCU série 2001-2019
2003;PE;Pernambuco;8161862;IBGE/TCU série 2001-2019
2003;AL;Alagoas;2917664;IBGE/TCU série 2001-2019
2003;SE;Sergipe;1874613;IBGE/TCU série 2001-2019
2003;BA;Bahia;13435612;IBGE/TCU série 2001-2019
2003;MG;Minas Gerais;18553312;IBGE/TCU série 2001-2019
2003;ES;Espírito Santo;3250219;IBGE/TCU série 2001-2019
2003;RJ;Rio de Janeiro;14879118;IBGE/TCU série 2001-2019
2003;SP;São Paulo;38709320;IBGE/TCU série 2001-2019
2003;PR;Paraná;9906866;IBGE/TCU série 2001-2019
2003;SC;Santa Catarina;5607233;IBGE/TCU série 2001-2019
2003;RS;Rio Grande do Sul;10510992;IBGE/TCU série 2001-2019
2003;MS;Mato Grosso do Sul;2169688;IBGE/TCU série 2001-2019
2003;MT;Mato Grosso;2651335;IBGE/TCU série 2001-2019
2003;GO;Goiás;5306459;IBGE/TCU série 2001-2019
2003;DF;Distrito Federal;2189789;IBGE/TCU série 2001-2019
2004;RO;Rondônia;1562085;IBGE/TCU série 2001-2019
2004;AC;Acre;630328;IBGE/TCU série 2001-2019
2004;AM;Amazonas;3138726;IBGE/TCU série 2001-2019
2004;RR;Roraima;381896;IBGE/TCU série 2001-2019
2004;PA;Pará;6850181;IBGE/TCU série 2001-2019
2004;AP;Amapá;547400;IBGE/TCU série 2001-2019
2004;TO;Tocantins;1262644;IBGE/TCU série 2001-2019
2004;MA;Maranhão;6021504;IBGE/TCU série 2001-2019
2004;PI;Piauí;2977259;IBGE/TCU série 2001-2019
2004;CE;Ceará;7976563;IBGE/TCU série 2001-2019
2004;RN;Rio Grande do Norte;2962107;IBGE/TCU série 2001-2019
2004;PB;Paraíba;3568350;IBGE/TCU série 2001-2019
2004;PE;Pernambuco;8323911;IBGE/TCU série 2001-2019
2004;AL;Alagoas;2980910;IBGE/TCU série 2001-2019
2004;SE;Sergipe;1934596;IBGE/TCU série 2001-2019
2004;BA;Bahia;13682074;IBGE/TCU série 2001-2019
2004;MG;Minas Gerais;18993720;IBGE/TCU série 2001-2019
2004;ES;Espírito Santo;3352024;IBGE/TCU série 2001-2019
2004;RJ;Rio de Janeiro;15203750;IBGE/TCU série 2001-2019
2004;SP;São Paulo;39825226;IBGE/TCU série 2001-2019
2004;PR;Paraná;10135388;IBGE/TCU série 2001-2019
2004;SC;Santa Catarina;5774178;IBGE/TCU série 2001-2019
2004;RS;Rio Grande do Sul;10726063;IBGE/TCU série 2001-2019
2004;MS;Mato Grosso do Sul;2230702;IBGE/TCU série 2001-2019
2004;MT;Mato Grosso;2749145;IBGE/TCU série 2001-2019
2004;GO;Goiás;5508245;IBGE/TCU série 2001-2019
2004;DF;Distrito Federal;2282049;IBGE/TCU série 2001-2019
2005;RO;Rondônia;1534594;IBGE/TCU série 2001-2019
2005;AC;Acre;669736;IBGE/TCU série 2001-2019
2005;AM;Amazonas;3232330;IBGE/TCU série 2001-2019
2005;RR;Roraima;391317;IBGE/TCU série 2001-2019
2005;PA;Pará;6970586;IBGE/TCU série 2001-2019
2005;AP;Amapá;594587;IBGE/TCU série 2001-2019
2005;TO;Tocantins;1305728;IBGE/TCU série 2001-2019
2005;MA;Maranhão;6103327;IBGE/TCU série 2001-2019
2005;PI;Piauí;3006885;IBGE/TCU série 2001-2019
2005;CE;Ceará;8097276;IBGE/TCU série 2001-2019
2005;RN;Rio Grande do Norte;3003087;IBGE/TCU série 2001-2019
2005;PB;Paraíba;3595886;IBGE/TCU série 2001-2019
2005;PE;Pernambuco;8413593;IBGE/TCU série 2001-2019
2005;AL;Alagoas;3015912;IBGE/TCU série 2001-2019
2005;SE;Sergipe;1967791;IBGE/TCU série 2001-2019
2005;BA;Bahia;13815334;IBGE/TCU série 2001-2019
2005;MG;Minas Gerais;19237450;IBGE/TCU série 2001-2019
2005;ES;Espírito Santo;3408365;IBGE/TCU série 2001-2019
2005;RJ;Rio de Janeiro;15383407;IBGE/TCU série 2001-2019
2005;SP;São Paulo;40442795;IBGE/TCU série 2001-2019
2005;PR;Paraná;10261856;IBGE/TCU série 2001-2019
2005;SC;Santa Catarina;5866568;IBGE/TCU série 2001-2019
2005;RS;Rio Grande do Sul;10845087;IBGE/TCU série 2001-2019
2005;MS;Mato Grosso do Sul;2264468;IBGE/TCU série 2001-2019
2005;MT;Mato Grosso;2803274;IBGE/TCU série 2001-2019
2005;GO;Goiás;5619917;IBGE/TCU série 2001-2019
2005;DF;Distrito Federal;2333108;IBGE/TCU série 2001-2019
2006;RO;Rondônia;1562417;IBGE/TCU série 2001-2019
2006;AC;Acre;686652;IBGE/TCU série 2001-2019
2006;AM;Amazonas;3311026;IBGE/TCU série 2001-2019
2006;RR;Roraima;403344;IBGE/TCU série 2001-2019
2006;PA;Pará;7110465;IBGE/TCU série 2001-2019
2006;AP;Amapá;615715;IBGE/TCU série 2001-2019
2006;TO;Tocantins;1332441;IBGE/TCU série 2001-2019
2006;MA;Maranhão;6184538;IBGE/TCU série 2001-2019
2006;PI;Piauí;3036290;IBGE/TCU série 2001-2019
2006;CE;Ceará;8217085;IBGE/TCU série 2001-2019
2006;RN;Rio Grande do Norte;3043760;IBGE/TCU série 2001-2019
2006;PB;Paraíba;3623215;IBGE/TCU série 2001-2019
2006;PE;Pernambuco;8502603;IBGE/TCU série 2001-2019
2006;AL;Alagoas;3050652;IBGE/TCU série 2001-2019
2006;SE;Sergipe;2000738;IBGE/TCU série 2001-2019
2006;BA;Bahia;13950146;IBGE/TCU série 2001-2019
2006;MG;Minas Gerais;19479356;IBGE/TCU série 2001-2019
2006;ES;Espírito Santo;3464285;IBGE/TCU série 2001-2019
2006;RJ;Rio de Janeiro;15561720;IBGE/TCU série 2001-2019
2006;SP;São Paulo;41055734;IBGE/TCU série 2001-2019
2006;PR;Paraná;10387378;IBGE/TCU série 2001-2019
2006;SC;Santa Catarina;5958266;IBGE/TCU série 2001-2019
2006;RS;Rio Grande do Sul;10963219;IBGE/TCU série 2001-2019
2006;MS;Mato Grosso do Sul;2297981;IBGE/TCU série 2001-2019
2006;MT;Mato Grosso;2856999;IBGE/TCU série 2001-2019
2006;GO;Goiás;5730753;IBGE/TCU série 2001-2019
2006;DF;Distrito Federal;2383784;IBGE/TCU série 2001-2019
2007;RO;Rondônia;1453756;IBGE/TCU série 2001-2019
2007;AC;Acre;655385;IBGE/TCU série 2001-2019
2007;AM;Amazonas;3221940;IBGE/TCU série 2001-2019
2007;RR;Roraima;395725;IBGE/TCU série 2001-2019
2007;PA;Pará;7065573;IBGE/TCU série 2001-2019
